Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Democrats Who Want to Win,Democrats Who Want to Win,1370,8
North Dakotans for Comprehensive Energy Solutions,North Dakotans for Comprehensive Energy Solutions,1359,4
Mercatus Center at George Mason University,The Mercatus Center at George Mason University,1356,19
Warrior 12,These ads ran without a disclaimer,1356,3
UnitedVoice.com,"Beachside Media, Inc.",1353,38
CalmEffect,Calm Effect,1345,11
Minnesotans for a Smoke-Free Generation,ClearWay Minnesota,1343,40
Illinois Farm Bureau,Illinois Farm Bureau,1342,8
CREDO Energy,"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, CREDO Mobile, Inc.",1334,25
Catalyst Voices,Catalyst,1333,11
Media Research Center,Media Research Center,1333,6
Friends of Charlotte McConnell,and authorized by Friends of Charlotte McConnell,1331,6
Operation Sacred Trust,Purpose Built Families Foundation,1328,4
Concerned Women For America LAC,CONCERNED WOMEN FOR AMERICA,1324,25
Truth About ADF,Friends of Truth About ADF,1321,6
2nd Amendment Depot,2nd Amendment Depot,1293,64
VoteVets.org,VoteVets Action Fund,1288,24
Carolina Clean Energy Group,Carolina Clean Energy Group,1276,8
Tee Shirt Palace,Tee Shirt Palace,1265,9
Murray Insurance Agency,Murray Insurance Agency,1262,16
Oregon Energy Savings,Oregon Energy Savings,1260,2
The Western Journal,The Western Journal,1252,56
4ocean,These ads ran without a disclaimer,1251,2
Cheddar Live,Cheddar,1250,5
Alliance for Climate Education,Alliance for Climate Education,1246,6
Marsy's Law for Wisconsin,"Marsy’s Law for Wisconsin, LLC",1241,7
One Illinois,One Illinois Media Group,1239,6
Artetorial,CANVAS Unplugged - An Art Gallery of Today's Stories,1235,57
Virginia Hospital & Healthcare Association,Virginia Hospital & Healthcare Association,1235,6
AACR Foundation,The American Association for Cancer Research (AACR),1233,30
ATTN:,ATTN:,1216,4
The Refugee Center Online,The Refugee Center Online,1214,7
Catholic Relief Services,Catholic Relief Services,1211,35
RepublicEn,RepublicEn,1200,2
On Your 6 Designs,On Your 6 Designs,1193,6
Cold Dead Hands,Cold Dead hands of America,1189,63
Airlines for America,Airlines for America,1186,10
Senate Leadership Fund,Senate Leadership Fund,1180,6
Action Against Hunger USA,Action Against Hunger,1176,38
"William F. Buckley, Jr. Program at Yale","William F. Buckley, Jr. Program",1174,5
Arizona Solar Rebates & Tax Credits,Arizona Solar Rebates,1174,14
Patients' Rights Action Fund,Patient's Rights Action Fund,1171,11
Stretch The Truth,Stretch The Truth,1158,47
America with Eric Bolling,CRTV,1157,84
H-E-B Excellence in Education,Excellence in Education,1149,2
Freedom Media & Ethics,Freedom Magazine,1146,2
The Atlas Society,The Atlas Society,1146,23
Congressional Black Caucus PAC,Congressional Black Caucus PAC,1138,6
Eco Soapr,Yakov Bindler,1135,65
Food for the Hungry,Food for the Hungry,1132,12
Center for Reproductive Rights,Center for Reproductive Rights,1128,12
Katherine Clark,Katherine Clark for Congress,1128,1
Portfolio Books,Portfolio Books,1124,6
Educated Earthling,These ads ran without a disclaimer,1123,30
Ditch Mitch,Ditch Fund and not authorized by any candidate or candidate's committee,1121,4
ADL - Anti-Defamation League,Anti-Defamation League,1120,46
Protect the Granite State,Protect the Granite State,1117,3
Childress Institute for Pediatric Trauma,These ads ran without a disclaimer,1116,8
Amy Klobuchar,Klobuchar for Minnesota,1115,2
EarthX,EarthX,1115,12
NowThis Politics,NowThis,1112,25
"Zion Oil and Gas, Inc.",Zion Oil & Gas,1111,1
In Search of Liberty,In Search of Liberty,1110,5
Color Of Change PAC,"Color of Change PAC, not authorized by any candidate or candidate’s committee.",1108,3
Alaska Wilderness Action,Alaska Wilderness Action,1108,6
Personal Liberty,Personal Liberty,1106,22
NARAL Pro-Choice America,NARAL Pro-Choice America,1105,50
Dallas Safari Club,DSC Foundation,1101,3
Bayou Bridge Pipeline Facts,Energy Transfer Partners,1100,2
Gephardt Daily,Gephardt Daily,1098,24
Zócalo Public Square,Zócalo Public Square,1096,2
American Bridge,American Bridge 21st Century PAC.,1092,9
OnMessage Inc.,OnMessage Inc,1081,2
The Fairness Project,The Fairness Project,1072,49
NFL,These ads ran without a disclaimer,1069,1
American Honey Bee Protection Agency,Epic Honey Co.,1064,14
Earth.com,Earth,1062,4
Americans for Responsible Technology,Americans for Responsible Technology,1058,25
Affordable Medicare,Affordable Medicare,1055,8
Your Energy Virginia,American Gas Association,1054,12
GWC Law,GWC Law Firm,1050,1
Soap Hope,Soap Hope,1045,19
Vera Institute of Justice,Vera Institute of Justice (501c3),1040,11
Andrew English,THE CAMPAIGN FUND FOR ANDREW ENGLISH,1039,4
Glenn Beck,TheBlaze,1038,17
Hillsdale College Online Courses,Hillsdale College,1036,10
Publicsquare.net,Public Square Net,1030,9
Ethos Research,National Media Distribution Services,1022,10
Arizona Game & Fish Department,Arizona Game and Fish Department,1020,20
BookTV,C-SPAN,1019,4
State Representative Carol Alvarado,the Carol Alvarado Campaign,1013,9
National Loan Advisors,National Loan Programs,999,8
Conservative Institute,Conservative Institute,998,92
AMVETS Thrift Stores,AMVETS National Service Foundation,996,3
Penguin Kids,Penguin Young Readers,994,24
Inkkas,These ads ran without a disclaimer,994,1
Fortegra Personal Insurance Agency,Fortegra Personal Insurance Agency,986,4
Leadership Institute,Leadership Institute,982,27
Alliance & Associates,These ads ran without a disclaimer,979,6
Bloomsbury Publishing USA,Bloomsbury Publishing,978,4
Jimmy Ayers,Friends of Jimmy Ayers,975,2
LG&E and KU,LG&E and KU,972,3
Building Financial Groundwork For The Future,Building Financial Groundwork For The Future,970,9
Union Gospel Mission of Portland,Union Gospel Mission Portland,968,1
Communities for a New California Action Fund,These ads ran without a disclaimer,966,1
National Association of Home Builders,National Association of Home Builders,963,2
Reed Energy Consulting,Reed Energy Consulting,961,10
SEIU Local 2015,SEIU Local 2015,961,8
Marco Rubio,MARCO RUBIO FOR SENATE,960,4
The Devil We Know,Teflon Film LLC,958,10
WipeRecord Expungement Lawyers,"WipeRecord, a division of Eastman Meyler, PC",949,10
Anthem Blue Cross Medi-Cal,"Get help in another language Non-discrimination policy Privacy Policy Waste, Fraud & Abuse Terms of Use Anthem Blue Cross is the trade name of Blue Cross of California. Anthem Blue Cross and Blue Cross of California Partnership Plan, Inc. are independent licensees of the Blue Cross Association. ANTHEM is a registered trademark of Anthem Insurance Companies,",949,1
Sportsman's Art,the family of owners/operators of Sportsman's Art!,946,1
Paper Culture,These ads ran without a disclaimer,944,12
Center for Victims of Torture,Center for Victims of Torture,943,8
National Veteran Advisors,National Veteran Programs,941,12
CNSNews.com,Media Research Center,932,8
Medals Of America,Medals of America,932,12
Jane Velez-Mitchell,Jane Velez-Mitchell,931,8
American Medical Association (AMA),American Medical Association,927,2
Choice Regional Health Network,CHOICE Regional Health Network,924,7
Right Now USA Superpac,Right Now USA,922,1
EMILY's List,EMILY's List,921,2
Louisiana Chemical Association,the Louisiana Chemical Association,920,21
Asa for Governor,Asa for Governor,915,1
Family Research Council,Family Research Council,914,2
The Presidential Coalition,The Presidential Coalition,912,5
New American Economy,New American Economy,900,5
Energy In Depth,Energy in Depth,894,2
Washington State Health Care Authority,Washington State Health Care Authority,892,32
California Hispanic Chambers of Commerce,California Hispanic Chambers of Commerce,889,12
Need To Impeach,Tom Steyer,887,1
MTC Changes Lives,Management & Training Corporation,886,5
Alliance For Maine,The Alliance for Maine 2018,885,3
Color Of Change,Color Of Change,885,5
NewsBusters.org,Media Research Center,875,5
Idaho Resident Energy Savings,Idaho Resident Energy Savings,875,1
MRCTV,Media Research Center,875,4
International Christian Embassy Jerusalem - USA,The International Christian Embassy Jerusalem,871,72
Accountability Project Ohio,The Accountability Institute,864,1
Klamath River Renewal Corporation,Klamath River Renewal Corporation,863,4
Steven Fulop,The Election Fund for Steven Fulop 2021,859,14
Carnegie Institution for Science,Carnegie Institution for Science,856,49
ACCE Action,"Committee to Save Our Neighborhoods, Sponsored by Alliance of Californians for Community Empowerment Action. 777 S. Figueroa Street, Ste. 4050, Los Angeles, CA  90017",855,2
Children's Hospital of Wisconsin,Children's Hospital of Wisconsin.,850,4
We Can Solve This,The Years Project,846,11
Mejores ofertas solares,Mejores ofertas solares,846,12
Equality Florida,Equality Florida,846,11
CF Commission on Homelessness,Central Florida Commission on Homelessness,844,9
Harry's,"Harry's, Inc.",843,10
Phillips 66,These ads ran without a disclaimer,843,4
Buddy Brown,Buddy Brown,842,7
PushBlack,PushBlack Now,841,15
Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez 2018,840,1
"Important, Not Important","Important, Not Important LLC",839,14
Mercedes Monitor,Mercedes Monitor,837,21
Maryland Food Bank,the Maryland Food Bank,834,78
LaunchGood,LaunchGood,832,11
My Faith Votes,MFV,828,8
New Health Plans,New Health Plans,828,14
CA Charter Schools Association,California Charter Schools Association,826,34
Parks Project,These ads ran without a disclaimer,825,2
Coffee Vets,Coffee Vets,825,8
Reform Austin,"Reform Austin, Inc.",823,1
2nd Amendment Rights,One Nation Design,822,10
No Nuke Bailout,Citizens Against Nuclear Bailouts,817,10
PSEA - PA State Education Association,PA State Education Association (PSEA),816,4
ASMDSS,"ASMDSS, Inc",815,32
LevinTV,CRTV,811,45
AT&T Hello Lab,These ads ran without a disclaimer,806,5
Qwōt'em,Qwōt'em,802,6
Physicians Grassroots Network,American Medical Association,801,14
Wisconsin Right to Life,Wisconsin Right to Life,798,4
Waistted,waisTTed,797,5
Save the Soldiers Home,Save the Soldiers Home,796,18
Albert Bryan for Governor,Bryan Roach for Governor and Lt Governor,778,61
CMMB,CMMB-Healthier Lives Worldwide,773,21
Louder with Crowder,CRTV,772,41
LASD Recruitment Unit,The Los Angeles County Sheriff's Department,766,4
Digi.City,Digi.City,765,2
WhyHunger,WhyHunger,765,72
Sand Cloud,These ads ran without a disclaimer,763,18
Veterans of Foreign Wars VFW,the Veterans of Foreign Wars (VFW),762,7
"Protect Coyote Valley, San Jose",Protect Coyote Valley,761,6
Coalition for Medicare Choices,The Coalition for Medicare Choices,759,5
BESE,BESE,757,5
Barasch & McGarry - Lawyers For The 9/11 Community,These ads ran without a disclaimer,756,1
PL+US,PL+US: Paid Leave for the United States,753,8
AFSCME,"American Federation of State, County and Municipal Employees",752,8
Collaborative for Student Success,Collaborative for Student Success,752,3
Americans for Prosperity-New Jersey,Americans for Prosperity,751,45
General Mills,These ads ran without a disclaimer,748,1
Affordable Energy for Kansas,Affordable Energy for Kansas,747,17
Wellness.com,"Beachside Media, Inc.",746,40
Texas Central,"Texas Central Partners, LLC",746,61
Hotze Health,Hotze Health & Wellness Center,743,5
Spectrum News Capital Region,Spectrum News,740,4
Eric Garcetti,"Democratic Midterm Victory Fund, 777 S. Figueroa Street | Suite 4050 | Los Angeles Ca 90017. Not Authorized By Any Candidate Or Candidate's Committee.",739,4
Pennsylvania State Treasurer Joe Torsella,philanthropic dollars.,738,6
Office of South Carolina Treasurer Curtis Loftis,Future Scholar. Administered by State Treasurer Curtis Loftis. Not paid for with state funds.,737,11
A Simple Question,Kinetic Affect,737,3
Eric Swalwell,"Paid For By Swalwell For Congress - P.O. Box 2847 Dublin, CA 94568",736,6
Stand with Parkland,Stand With Parkland,735,19
Liberty United,Liberty UTD Inc.,734,25
APWU - The American Postal Workers Union,These ads ran without a disclaimer,732,4
Wounded Warrior Project,Wounded Warrior Project,727,14
Dan Lipinski for Congress,Dan Lipinski for Congress,727,3
"New England, New Energy","New England, New Energy",726,16
Congressman Peter King,Pete King for Congress.,724,10
Charters for Change,Elevate Chicago,720,9
Boston Rescue Mission,Boston Rescue Mission,719,15
TeacherFreedom,Teacher Freedom,717,9
Amway US,Amway,715,3
Jan Schneider,Friends of Jan Schneider,715,7
Delmarva Power (Delmarva Connect),"Pepco Holdings, Inc.",713,17
PIX 11,New York's Very Own PIX11 News,713,3
African Community & Conservation Foundation,African Community & Conservation Foundation,713,3
Good Jobs Nation,Good Jobs Nation,710,4
MS Runoff Voter Alerts,NRSC and not authorized by any candidate or candidate’s committee,707,28
Nomiki Konst,Friends of Nomiki Konst,706,50
San Diego Organizing Project,San Diego Organizing Project,702,4
Colorado Energy Savings,Colorado Energy Savings,700,1
Aspiration,Aspiration,700,2
Penguin Teen,Penguin Young Readers,700,16
American Action News,American Action News,700,2
Clinton Inc. The Movie,Clinton Inc Movie,700,6
Independent Women's Voice,Independent Women's Voice,700,3
The Heritage Foundation,The Heritage Foundation,700,4
James Allen Insurance,James Allen Insurance,700,2
HeadCount,HeadCount,700,1
Scott Taylor,Scott Taylor for US Congress,700,1
Opt Out Today,Opt Out Today,697,18
Exclusive Apparel,The Dude's Designs,696,74
Rise Up Retail,Organization United for Respect,695,2
"Raising Grades, Lifting Futures","Raising Grades, Lifting Futures",695,10
The Missouri Plan,"THE MISSOURI BAR, SEBRINA BARRETT, EXECUTIVE DIRECTOR PO BOX 119 JEFFERSON CITY, MO 65102",695,8
Pennsylvania Health Access Network,Pennsylvania Health Access Network,694,4
CAVU,Calm Air Visibility Unlimited. CAVU is a 501(3)c non-profit and does not endorse political candidates for office.,694,9
The Seniors Center,"The Seniors Center, a project Our Generation, a 501(c)(4) non profit organization.",693,7
92nd Street Y,92nd Street Y,692,26
Dogwood Alliance,Dogwood Alliance,688,6
Congress of Tomorrow,Democracy Fund Voice.,687,10
Framed Tweets,Framed Tweets Inc,685,14
SiriusXM,SiriusXM,683,3
Dysfunctional Veterans,"Dysfunctional Veterans, Inc",682,5
forestproud,#forestproud,681,81
Shared Hope International,Shared Hope International,679,8
Aya Ivory,Aya Ivory,678,22
OKTreasure.com,Oklahoma State Treasurer's Office,677,2
The University of North Carolina at Chapel Hill,UNC-Chapel Hill,676,5
Pelican Institute for Public Policy,Pelican Institute for Public Policy,674,3
NRA Women,NRA Women,674,12
Business Roundtable,Business Roundtable,673,5
Everglades-Trust,"Everglades Trust, established in 1994",670,8
Creative Action Network,Creative Action Network,666,15
South Dakotans for Comprehensive Energy Solutions,South Dakotans for Comprehensive Energy Solutions,666,4
Oh Politics,OhPolitics Etsy Store,665,69
Lafayette Parish Sheriff's Office,Lafayette Parish Sheriff's Office,661,13
Law Center For Social Security Rights,The Law Center for Social Security Rights,660,8
Polling.GOP,Polling Dot GOP,657,1
Zero Fatalities Nevada,The Department of Public Safety,655,2
Message,Tim D'Annunzio,655,8
Tom Steyer,Tom Steyer,652,1
USA Energy Program,USA Energy Program,647,20
SEIU Faculty Forward,SEIU Faculty Forward,645,7
Young Invincibles,Young Invincibles,645,4
Christian Burridge for State Senate,Christian Burridge for State Senate,641,2
Bill Gates,Bill Gates,640,22
DiversityInc,Diversity Incorporated,639,2
Center for American Progress,Center for American Progress,638,42
Catholic Charities of the Archdiocese of New York,Catholic Charities Archdiocese of New York,637,2
GZERO Media,GZERO Media,636,10
NTK Network,NTK Network,636,9
Abogado Eric Price,Abogado Eric Price,634,2
Institute for New Economic Thinking,the Institute for New Economic Thinking,631,9
CAVU,Calm Air Visibility Unlimited. CAVU is a 501(3)c non-profit and does not endorse political candidates for office.,631,18
Movebr,MoveBR,620,6
We Are The Mighty,We Are The Mighty,619,24
