Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Public Policy Institute of California,Public Policy Institute of California,≤100,1
Marina Florist Hawaii,These ads ran without a disclaimer,≤100,1
Big Bend Honor Guard,James Geuin,≤100,1
Councilman Patrick Roff,Patrick Roff,≤100,1
"Thomas Jefferson Unitarian Church/Louisville, KY",Thomas Jefferson Unitarian Church,≤100,2
Dave Stauffer for President,"Stauf Ent., Inc.",≤100,1
Releasing Heaven Ministries,Releasing Heaven Ministries,≤100,1
Manda Hansen,Manda Hansen,≤100,1
Seth Law Associates,These ads ran without a disclaimer,≤100,2
Gust Realty,These ads ran without a disclaimer,≤100,1
"Reid Falconer, Louisiana State Representative",Reid Falconer,≤100,1
Virginia Term Limits,U.S. Term Limits,≤100,1
Meyer Memorial Trust,Meyer Memorial Trust,≤100,1
Abogadousa,AbogadoUSA,≤100,2
Dave Walcher,David Walcher,≤100,1
Not My NRA,Not My NRA,≤100,1
MonopolyWars,Jake Todd,≤100,1
End Poverty,End Poverty,≤100,1
Flint River Home Decor,Flint River Decor,≤100,1
USUnited,USUnited,≤100,1
Enzo for Selectman,francis Barile,≤100,1
Help Free Dr York,Concerned Citizens for the Freedom of Dr. York,≤100,1
Novato SUP,Novato Stands United PAC ID#1401131,≤100,1
The Resolution to End Homelessness,Kyle Bergquist and The Resolution to End Homelessness,≤100,2
Walmart Supercenter - Cross Roads,These ads ran without a disclaimer,≤100,1
Beyond Civility,Beyond Civility,≤100,1
Boone Electric Cooperative,Boone Electric Cooperative,≤100,1
James F. Misiano PC,Misiano Law,≤100,2
The Snooty Fox Tea Shop,These ads ran without a disclaimer,≤100,2
Hillsborough County Young Democrats,Hillsborough County Young Democrats,≤100,1
Tampa Bay Young Republicans,TBYR,≤100,1
Bizer & DeReus,"Bizer & DeReus, LLC",≤100,1
Gift Squadron,These ads ran without a disclaimer,≤100,1
Newberry Opera House,These ads ran without a disclaimer,≤100,1
Steve Barnett for Franklin Mayor,Elect Steve Barnett,≤100,1
Darren Suen,Darren Suen for Mayor 2018,≤100,1
Get Clean Now Clermont,Get Clean Now Clermont County,≤100,1
Orange County Commissioner Emily Bonilla,Orange County Board of County Commissioners District 5,≤100,1
Eric Pederson at Waterstone Mortgage NMLS #642070,Eric Pederson at Waterstone Mortgage,≤100,1
Councilor Joel McAuliffe,the Committee to Elect Joel McAuliffe,≤100,1
Winklerforschoolboard,Winkler Campaign,≤100,1
Anthony's Pharmacy - My Community Drugstore,Anthony's Pharmacy,≤100,1
Cellworks,FRIENDS OF Sherry-Ann Francis,≤100,3
Maine Equal Justice,Maine Equal Justice,≤100,1
K.Talks,These ads ran without a disclaimer,≤100,1
Seacology,Seacology,≤100,1
Dairy Business Association,Dairy Business Association,≤100,1
WikiRealty,WikiRealty,≤100,2
Auxycodone,These ads ran without a disclaimer,≤100,1
Walmart Rockwall,These ads ran without a disclaimer,≤100,1
Walmart Supercenter Sachse,These ads ran without a disclaimer,≤100,1
Border Youth Tennis Exchange,Charlie Cutler,≤100,1
Berkeley-Charleston-Dorchester Council of Governments,Berkeley-Charleston-Dorchester Council of Governments,≤100,1
Taxpayers United of America,Taxpayers United of America,≤100,1
Friends of Night People,"Friends of Night People. Inc., 394 Hudson Street, Buffalo, NY 14201.",≤100,1
Ken Humberston Clackamas County Commissioner Page,Kenneth Humberston,≤100,1
Ashburn Life,Ashburn Life,≤100,2
Print More Spend Less,"Print More, Spend Less",≤100,1
Vote Cascadia,Vote Cascadia & Individuals like you!,≤100,1
Who Stole the American Dream?,reclaim the american dream - 501(c)3 - IRS certified,≤100,1
Davis Vanguard,"Davis Vanguard, 501c3, EIN 46-3013126",≤100,1
Virginia Harm Reduction Coalition,Virginia Harm Reduction Coalition,≤100,1
ACLU of Maryland,American Civil Liberties Union of Maryland,≤100,1
Cook County Record,The Record,≤100,1
Red Panda Network,Red Panda Network,≤100,1
E case store,These ads ran without a disclaimer,≤100,1
Alexia A Aldebol,Alexia A Aldebol,≤100,1
AARP Wyoming,AARP Wyoming,≤100,1
Elect Robert E. Hunt Jr.,Friends of Robert Hunt,≤100,2
University of Minnesota,University of Minnesota,≤100,2
Mary Watts for Santa Rosa City Council,Mary Watts for City Council 2018,≤100,1
Loud Sisters Shop,Loud Sisters Shop,≤100,1
Structure Tone,These ads ran without a disclaimer,≤100,1
Giles County Republican Committee,Giles County Republican Committee,≤100,1
Walmart Dallas - Retail Rd,These ads ran without a disclaimer,≤100,1
"Harvest Rock Advisors, LLC",Harvest Rock Advisors,≤100,1
Upper Missouri Watershed Alliance,These ads ran without a disclaimer,≤100,1
Jason Plummer,Plummer for Illinois,≤100,1
Lori Gummow,Citizens for Lori Gummow,≤100,1
United Way of the Midlands,United Way of the Midlands,≤100,1
Citizen Schools,These ads ran without a disclaimer,≤100,2
Madden Industrial Craftsmen,These ads ran without a disclaimer,≤100,4
Yes for Bett,Yes for Bett Committee,≤100,1
Prontocom,These ads ran without a disclaimer,≤100,1
SilencedOrganic,Jake Todd,≤100,1
Children's Law Center of Washington,"Children's Law Center of Washington, PS",≤100,2
SMART Politics,Smart Politics,≤100,1
Adam Gray for Assembly,Paid for by: Gray for Assembly 2018 FPPC ID# 1392612,≤100,1
Vote Pavey For Mayor,The I Like Mike Committe,≤100,1
Bob for MPS,BobForMPS,≤100,1
Send Sally Ride to Represent California,People Who Love Astronauts,≤100,3
Virginia Militia,Constitutional conservative,≤100,1
Choice Destiny Apparel,These ads ran without a disclaimer,≤100,3
Progressive Democratic Women's Caucus,the Progressive Democratic Women's Caucus of Muskegon County PAC,≤100,1
Michelle Mortensen,Michelle Mortensen,≤100,2
Homeless Prevention Council of Lower Cape Cod,These ads ran without a disclaimer,≤100,1
Justice For Elder Abuse,Justice for Elder Abuse,≤100,1
Mid-States Services LLC,Mid-States Services LLC,≤100,1
Giraffe Heroes,The nonprofit Giraffe Heroes Project,≤100,4
Fayetteville Citizens Climate Lobby,Arkansas Citizens' Climate League,≤100,1
Brian Jennings,Brian,≤100,1
Trumped,Christopher Cooper,≤100,8
Special Olympics Wisconsin,Special Olympics Wisconsin,≤100,1
Samo Login,These ads ran without a disclaimer,≤100,1
No Meadowlands Power Plant,Joseph Basralian,≤100,1
Susan Kaiser Greenland,Susan Kaiser Greenland,≤100,1
Volunteers of America Ohio & Indiana,Volunteers of America Ohio & Indiana,≤100,1
Promise for Haiti,Kimber Bailey Scott,≤100,1
Garuka Bars,Garuka Bars,≤100,2
Sandy and Richard Riccardi,Sandy and Richard Riccardi,≤100,1
Breathe Project,Breathe Project,≤100,1
Trump Impeachment,Brandon Skwira,≤100,1
Characters Imagination Station,Crystal Scott,≤100,1
"Mitchell Blatt, Political Columnist","Mitchell Blatt, Political Columnist",≤100,1
Save the Earth Straws and More,Save The Earth Straws and More,≤100,1
Shalon Latour for State Representative District 37- current CPPJuror # 10,Shalon Latour,≤100,1
AARP New Mexico,AARP New Mexico,≤100,1
Grand Strand Action Together,by Grand Strand Action Together,≤100,1
Delegate Chris Head,Elect Chris Head,≤100,1
Progressive Citizen X/The Matt McNeil Show,Matt McNeil/Progressive Citizen X,≤100,1
Jaya McSharma,McSharma Productions,≤100,1
Kolkema Law,"Kolkema Law, PLC",≤100,1
Shannon E. Kohl for Mayor of Martinsville,Shannon Kohl for Mayor,≤100,1
Stop CPS From Legally Kidnapping Children,"Family Preservation Foundation, Inc.",≤100,1
Phillip Duarte for Taunton City Council,Committee to Elect Phillip Duarte,≤100,1
"Yumeka Brown, Matteson Village Clerk",Friends of Yumeka Brown,≤100,2
Oklahomans For Trump,Oklahomans for Trump,≤100,1
Democrat for President,Dom Pascual,≤100,1
The Giving Plate Community Food Relief Outreach,"The Giving Plate, Inc.",≤100,1
Dance on Main Ballroom Studio,These ads ran without a disclaimer,≤100,1
Clay County Republicans,Clay County Republican Party,≤100,1
K9s United,Debbie Johnson,≤100,2
Votesane.com,"Votesane LLC, a nonpartisan US political marketplace listing ALL federal candidates.",≤100,4
McCluskie for Colorado,McCluskie for Colorado,≤100,1
Council Rock Coalition for Healthy Youth - CRCHY,Council Rock Coalition for Healthy Youth,≤100,2
350 Spokane,350 Spokane,≤100,1
Jabber Jones,These ads ran without a disclaimer,≤100,1
Fusion Power,SolarArizona,≤100,1
Wilton Democratic Town Committee,The Wilton Democratic Town Committee. Peter Squitieri Treasurer.,≤100,1
United Way of Massachusetts Bay,United Way of Massachusetts Bay and Merrimack Valley,≤100,1
Chums,These ads ran without a disclaimer,≤100,1
Citizens for Safe Water Around Badger,These ads ran without a disclaimer,≤100,1
LIberty Road,Liberty Road,≤100,2
AARP Vermont,AARP Vermont,≤100,1
Combat Flags,These ads ran without a disclaimer,≤100,1
Randall Stephens,These ads ran without a disclaimer,≤100,1
The Buzz Around Wayne County,The Buzz Around Wayne County,≤100,1
Havis for Senate,Havis for Senate,≤100,1
Esteban Alvarez,Esteban Alvarez,≤100,1
Baaz US,Baaz,≤100,1
Recovery is Beautiful,Washington County Behavioral Health Board,≤100,1
American 50,American 50,≤100,1
Roy Zimmerman,Roy Zimmerman,≤100,1
The Soho Forum,Reason Foundation,≤100,1
Ourbiglake,Our Big Lake,≤100,1
Dayton.com,daytondotcom,≤100,3
"James N. Purcell, Jr.",These ads ran without a disclaimer,≤100,1
Frontliners USA,Frontliners USA,≤100,7
Deep Water Home & Electronics,Deep Water Home & Electronics,≤100,2
88motions,kan shen,≤100,2
FSA Performing Arts,These ads ran without a disclaimer,≤100,1
All On Georgia - Bulloch,"AllOnGeorgia, LLC",≤100,1
Transport Hartford Academy,Center for Latino Progress - CPRF nonprofit and nonpartisan organization,≤100,1
Science for the People NYC,Science for the People NYC,≤100,1
Councilman Derek Green,The Green Fund,≤100,1
Leasecoolstuff,Orlando Williams,≤100,2
S-Fit,These ads ran without a disclaimer,≤100,8
Cards Against Republicans,Cards Against Republicans,≤100,1
"Brent Lee, RUSD Trustee","Brent Lee for RUSD Board 2018, ID #1357883",≤100,1
Smarthouse Creative,Smarthouse Creative,≤100,1
Florida Votes Values,Personhood FL,≤100,1
"Harbor Theater, Boothbay Harbor, Maine",Helen Meserve,≤100,2
California Local News,These ads ran without a disclaimer,≤100,6
Market of Choice,These ads ran without a disclaimer,≤100,1
Desert Botanical Garden,These ads ran without a disclaimer,≤100,1
Slugnuts,Slugnuts,≤100,1
Abolish Abortion Virginia,Abolish Abortion Virginia,≤100,2
Rising Sun Martial Arts of Jupiter,These ads ran without a disclaimer,≤100,1
Pierce County Professional Firefighters IAFF Local 726,Pierce County Professional Firefighters,≤100,1
Michigan Coalition for Responsible Gun Owners,Michigan Coalition for Responsible Gun Owners,≤100,1
Mona Foundation,Mona Foundation,≤100,1
Californians for Beto O'Rourke,Yi Ding,≤100,7
Tennessee Department of Economic and Community Development,TN Dept. of Economic and Community Development,≤100,1
Dan Howell,Elect Dan Howell - Beverlee Howell Treasurer,≤100,1
Keepsakes Plus,Keepsakes Plus,≤100,3
Women's March on Washington - Indiana,Women's March - Indiana,≤100,1
Friends & Neighbors,FRIENDS  & NEIGHBORS OF MARTIN COUNTY,≤100,1
The City Magazine El Paso,THECITY Magazine El Paso,≤100,1
Business Resource Services,These ads ran without a disclaimer,≤100,1
Jenna Wadsworth,the Jenna Wadsworth Committee,≤100,1
The Claw,The Claw,≤100,3
River Jordan Inc.,These ads ran without a disclaimer,≤100,2
Just Saying Ink,Just Saying Ink,≤100,1
"MSgt Manuel Jimenez, USAF, Retired",Manuel Jimenez,≤100,2
Neville for Cotati City Council,Neville Hormuz,≤100,1
O'Brien Benefits & Financial Services Inc.,These ads ran without a disclaimer,≤100,1
Steve McMichael for Mayor,The Committee to Elect Steve McMichael to Build a Better New Haven,≤100,1
Voice of the Sea,Voice of the Sea TV Series — Learning from experts across the ocean,≤100,2
Maryland State Senator Jill P. Carter,"Committee for Jill P. Carter, Shymaine Davis, treasurer",≤100,1
Tea Party of Cumberland County TN,Tea Party of Cumberland County,≤100,1
San Antonio Charter Moms,San Antonio Charter Moms,≤100,2
SBS Brands,SBS Brands' Family of Companies,≤100,2
Hillsborough Community Protection Coalition,Hillsborough Community Protection Coalition,≤100,1
Walmart Mesquite - US Highway 80 E,These ads ran without a disclaimer,≤100,1
Beyond Resistance,"Bliss Publishers, LLC",≤100,1
GUMUCHIAN,These ads ran without a disclaimer,≤100,1
Coronado Homes & Lifestyle,Coronado Homes & Lifestyle - Alan Kinzel Realty Group,≤100,1
Trumptastic,Trumptastic USA,≤100,3
Save Our Springs Alliance,Save Our Springs Alliance,≤100,1
My Pearland News,My Pearland News,≤100,1
Donald Dumps Dog Poop Bags,These ads ran without a disclaimer,≤100,2
Ross Rants,Ross Rants,≤100,1
Gorkas,These ads ran without a disclaimer,≤100,3
A+ Coalition,A+ Coalition,≤100,1
Kentucky Religious Coalition for Reproductive Choice,Kentucky Religious Coalition for Reproductive Choice,≤100,1
Forest Gems Mill and Gallery,These ads ran without a disclaimer,≤100,1
MyrtleBeachSC.com,MyrtleBeachSC News,≤100,2
ZenUp,These ads ran without a disclaimer,≤100,10
Little Blue Natural Resources District,Little Blue Natural Resources District,≤100,1
Luis Gaitan For Council,Luis Gaitan For Council,≤100,1
The Nurse Collective,The Nurse Collective,≤100,3
Walmart Mckinney - N Custer Rd,These ads ran without a disclaimer,≤100,1
Marilyn Wiles For AZ State Senate - District 10 - Rep.,COMMITTEE TO ELECT MARILYN WILES,≤100,1
Auburn Facilities Management,Auburn University Facilities Management,≤100,2
"ChemInstruments, Inc.","ChemInstruments, Inc.",≤100,1
Patriotic Novelties,Louis Colasanti,≤100,1
Plant City EDC,the Plant City EDC,≤100,3
NASW Arkansas Chapter,NASW Arkansas,≤100,1
Santa Ynez Band of Chumash Indians,The Santa Ynez Band of Chumash Indians,≤100,1
Lion Recovery Fund,Lion Recovery Fund,≤100,2
Vote Pro Pot,Vote Pro Pot,≤100,1
Save the Bastrop Chimps,Save the Bastrop Chimps,≤100,1
Front Steps,These ads ran without a disclaimer,≤100,1
Protect Our Wildlife Vermont,Protect Our Wildlife VT,≤100,1
Wu for West Covina,Tony Wu,≤100,1
Stuart Shapiro,Stuart Shapiro,≤100,2
Living Evergreen,Washington Environmental Council,≤100,1
Town Of Beloit Forum,Citizens for a better Town of Beloit,≤100,2
City of Belmont CA,These ads ran without a disclaimer,≤100,1
Petition For A New Nobel Prize For The Fight Against Climate Change,Helene Costa - Petition For A New Nobel Prize For the Fight Against Climate Change,≤100,8
Hooks4Hope,"Hooks4Hope, LLC",≤100,1
TheAwesome-Shop.com,These ads ran without a disclaimer,≤100,2
California Fragrance Outlet,California Fragrance Outlet,≤100,1
The Maryland Crabs Podcast,The Maryland Crabs Podcast,≤100,1
Pro Life Man,Pro Life Man,≤100,1
Hospice of Yuma,These ads ran without a disclaimer,≤100,1
Imperial Riot,These ads ran without a disclaimer,≤100,2
Netherland For Treasurer,The Committee To Elect Cebran Netherland,≤100,2
Doing Good Merch,Doing Good Merch,≤100,1
Jill Upson for WV House of Delegates 65th District,"Upson For WV, Laura Galvin, Treasurer",≤100,2
Kellie Sells Nashville / Crye-Leike Realtors / 901.550.2558,These ads ran without a disclaimer,≤100,1
South Land Park Neighborhood Association,South Land Park Neighborhood Association,≤100,2
Guiding Star Cedar Valley,These ads ran without a disclaimer,≤100,1
Keeping Cisco Informed,These ads ran without a disclaimer,≤100,2
Kerr County Democrats,Kerr County Democratic Party,≤100,1
Todays California,Eduardo Garcia for State Assembly,≤100,1
BigBridge,Big Bridge,≤100,1
Economic War Room,CRTV LLC,≤100,4
Kootenai County Democrats,Kootenai County Democrats,≤100,1
David Earl Williams III,David Earl Williams III,≤100,2
Lynch Insurance Group,These ads ran without a disclaimer,≤100,1
StandWithUs,StandWithUs,≤100,1
Love’s Surf Gems,Melissa Love,≤100,1
New Mexico Democrats for Democracy,New Mexico Democrats for Democracy,≤100,1
"Brady McNulty, Occasional Cartoonist","Brady McNulty, a guy who draws cartoons",≤100,1
Hines Life & Health Solutions,These ads ran without a disclaimer,≤100,1
City of Fallon Government,These ads ran without a disclaimer,≤100,1
"Ted Berry, Grove City WARD 1 Councilman",Ted Berry,≤100,1
"John Bermingham Chairman, UMBT Supervisors - The Voice For The People",John Bermingham,≤100,2
Joplin Area Chamber of Commerce,These ads ran without a disclaimer,≤100,1
Amos House,Amos House,≤100,1
Caring Healthcare,Caring Health Care,≤100,1
Imby,Enid Futterman,≤100,3
"Elect Maryn Setsuda, Youth Vice Chair",Advance Michigan,≤100,1
Forest Hayes for Virginia,Friends of Forest Hayes,≤100,3
Actual Life Quotes,"Steve Isidor your local Medicare, Health and Life Insurance Adviser.",≤100,1
"James Mumaw, CFP",James Mumaw CFP,≤100,1
"Chris Archer -  Southlake City Council, Place 6",Christopher Archer,≤100,1
Dodson and Sims for WSLC,DodsonSims,≤100,1
Selectman Tyler Gibbs,Tyler Gibbs,≤100,1
Union Gospel Mission Twin Cities,These ads ran without a disclaimer,≤100,8
Wexford/Missaukee Right to Life,Wexford Missaukee Right to Life,≤100,1
Donald Franchino Clarkstown Councilman Ward 3,self,≤100,1
Baker Academic,Baker Publishing,≤100,1
Durham CT Democrats,The Durham Democratic Town Committee,≤100,2
Clint Erickson Holmes County Commissioner District 5,Clint Erickson "Holmes County Commissioner District 5 Rep",≤100,1
CK Home Comforts,These ads ran without a disclaimer,≤100,1
World of Children,World of Children,≤100,1
Bier Station,"Bier Station, LLC",≤100,2
Zilch Zero Waste Goods,These ads ran without a disclaimer,≤100,1
Todd Roach - for O'Fallon Alderman - Ward 4,Friends of Todd Roach,≤100,1
Sen. Nathaniel McFadden,"Nathaniel J. Mcfadden for Senate, John Etoh, Treasurer",≤100,1
Alderman Brian Hopkins,Damen Media Group,≤100,1
Allen Brouwer,These ads ran without a disclaimer,≤100,1
Green City Recycler,GREEN CITY RECYCLER,≤100,1
PA State Rep. Cris Dush,Pennsylvania House Republican Caucus,≤100,1
Karey Hanks for Idaho,Friends of Karey Hanks,≤100,1
Climate Fest,Climate Fest,≤100,1
ThreeFaiths,Three Faiths | Defy Stereotype & Start a Conversation,≤100,1
Pilehvar Law,"Pilehvar Law, PLLC",≤100,4
CHRISTY OPARA FOR IMO HOUSE,These ads ran without a disclaimer,≤100,2
Councilman Andy Carrizales,Andy Carrizales for Rialto City Council 2016 FPPC #1382337,≤100,1
Ralph Ellison Foundation,The Ralph Ellison Foundation,≤100,1
"County of Union, New Jersey","the County of Union, New Jersey",≤100,1
David Stockman,David Stockman,≤100,2
Open Door,These ads ran without a disclaimer,≤100,1
Carolina Cannabis News,Carolina Cannabis News,≤100,2
Mrs. Green's World,Mrs. Green's World,≤100,1
SarX Clothing,SarX Clothing LLC,≤100,1
Why Am I Here? A Handbook for the Human Experience,These ads ran without a disclaimer,≤100,2
TruLakes by truocean,TruOcean,≤100,1
Rob & Bessie Welder Wildlife Foundation (Official),These ads ran without a disclaimer,≤100,1
Spero,Jonah Traaseth,≤100,1
Human Trafficking Institute,These ads ran without a disclaimer,≤100,1
Community Water Justice,Community Water Justice,≤100,1
Matt Couch,America First Media,≤100,1
Cart Wheel Casino & Liquor Store,Cart Wheel Casino & Liquor Store,≤100,1
The Daily Nooze,john deprospo,≤100,1
Assemblies of God Credit Union,These ads ran without a disclaimer,≤100,1
Atlantic Center for the Arts,These ads ran without a disclaimer,≤100,1
Center for Popular Democracy,Center for Popular Democracy,≤100,1
Oglala Sioux Lakota Housing,Oglala Sioux Lakota Housing,≤100,1
Libertarian Party of Manatee County Florida,Libertarian Party of Manatee County,≤100,1
Cook Mn,Cook Chamber of Commerce,≤100,1
Rowan County Republican Party,Rowan County Republican Party,≤100,1
Arroyo Seco Foundation,Arroyo Seco Foundation,≤100,1
The Business Center,These ads ran without a disclaimer,≤100,1
Democratic Socialists of America - Richmond,DSA Richmond,≤100,1
Arts Council for Monterey County,These ads ran without a disclaimer,≤100,1
Richard David,Elect Richard David for District Leader,≤100,2
"Deborah Morris, Garland City Council, District 2","Deborah Morris, City Council Member, District 2",≤100,1
"Brooklyn, Personal Injury Lawyer, Ross and Hill",Ross & Hill,≤100,1
Southeast Alaska Conservation Council,Southeast Alaska Conservation Council,≤100,1
High Society with Matthew and Bradley McDonald,High Society with Bradley and Matthew McDonald,≤100,1
Pittsburgh Arts & Lectures,Pittsburgh Arts & Lectures,≤100,1
Dr. Richard Vladovic,Dr. Richard Vladovic,≤100,2
PSU College of Urban and Public Affairs,PSU's College of Urban and Public Affairs,≤100,1
Michael Howard Wolf Law Firm,Michael Howard Wolf Law Firm,≤100,2
Lanphear Supply,This ad was not authorized by any candidate or candidate’s committee and Lauren Lanphear is responsible for the content of this advertisement.,≤100,1
American AF,These ads ran without a disclaimer,≤100,1
New Yorker's Family Research Foundation,New Yorker's Family Research Foundation,≤100,1
Seven Studios,These ads ran without a disclaimer,≤100,1
Circle 22,circle 22,≤100,1
"P'nai Or of Portland, Oregon",Joel Glick,≤100,1
"Angela Kelly-Wiecek, Chickahominy District Supervisor",Friends of Angela Kelly-Wiecek,≤100,1
Burke County Sheriff's Office - Georgia,BCSO Transparency Improvement Account,≤100,1
FPWA,FPWA (formerly known as the Federation of Protestant Welfare Agencies),≤100,1
Denton County Green Party,Wesson Gaige,≤100,1
Plastic Tides,"Plastic Tides, Inc., a registered 501c3 nonprofit in the USA.",≤100,1
Stephanie Calise for RI Senate District 11,Friends of Stephanie Calise,≤100,1
In Home Stone,These ads ran without a disclaimer,≤100,1
Freeman Ng,Freeman Ng,≤100,1
The Success Foundation,These ads ran without a disclaimer,≤100,1
ERA-USA-now #ERA Equal Rights Amendment,KCleland on behalf of ERAUSANOW,≤100,1
City of Las Cruces Government,City of Las Cruces,≤100,1
Goods on Fire,These ads ran without a disclaimer,≤100,1
Hope Haven Ministries,These ads ran without a disclaimer,≤100,1
Better Off Red Podcast,Better Off Red Podcast,≤100,1
A Room of One's Own Bookstore,A Room of One's Own Bookstore,≤100,1
Alliance for Community Services,"Alliance for Community Services, a non-profit, non-partisan community-labor coalition.",≤100,1
Cache Valley DSA,Cache Valley DSA Members,≤100,1
BannerSeason,BannerSeason,≤100,1
All Hands On,"All Hands On, a nonprofit organization registered with the IRS as a public charity 46-5485077 incorporated as a not-for-profit corporation in the State of Georgia. All Hands On does not endorse any specific candidate or party. All Hands On does not descriminate. All promotions are done as a public service to the Deaf Community.",≤100,1
Coleman Advocates,Coleman Advocates for Children and Youth,≤100,1
Rouges Magazine,Widgery Omnimedia,≤100,1
myparistexas.com,These ads ran without a disclaimer,≤100,1
CAIR - Greater Los Angeles,CAIR - Greater Los Angeles,≤100,1
Creative Reaction Lab,These ads ran without a disclaimer,≤100,1
"City of Cookeville TN- Mark Miller, Councilman",Mark Miller for City Council,≤100,1
Georgians For a Healthy Future,Georgians for a Healthy Future,≤100,1
Belmont Councilmember Charles Stone,Charles Stone for Belmont City Council 2018,≤100,1
eMite,These ads ran without a disclaimer,≤100,1
Longleaf Politics,Longleaf Politics LLC,≤100,2
Mt. Lassen Community Church - "Helping people find and follow God",These ads ran without a disclaimer,≤100,1
The Barnyard Boutique,These ads ran without a disclaimer,≤100,1
Waterbury Republican Town Committee,The Waterbury Republican Town Committee,≤100,1
"American Legion and Auxiliary Stevens Chute Post  4 - Bend, Dept. of Oregon",American Legion Auxiliary Unit #4 Dept. of Oregon,≤100,1
Mommy and Me Playgroup,Mommy and Me Playgroup,≤100,1
We Care People,"Mental Health & Recovery Services Board of Allen, Auglaize, and Hardin Counties",≤100,1
Austin Strassle,"Citizens for Austin Strassle, Antoinette Madeira, Treasurer",≤100,1
Hawaii Soap Company,These ads ran without a disclaimer,≤100,1
Ascension Citizens Group,Ascension Citizens Group.,≤100,1
BeeLove.org,Raymond DuBois,≤100,1
Episcopal Divinity School at Union,EDS at Union,≤100,1
Stolen Memes For Leftist Teens,These ads ran without a disclaimer,≤100,1
Module 9 at 11:22,Julie Elliott,≤100,1
Business and Professional Women / St. Petersburg-Pinellas,Business and Professional Women / St. Petersburg-Pinellas,≤100,1
Gulf Restoration Network,Gulf Restoration Network,≤100,1
Manuel Zapata - For E-Board of the CDP,Manuel Zapata For CDP Delegate,≤100,1
Texas Climate News,Bill Dawson,≤100,1
Right to Life of Kern County,Right to Life of Kern County,≤100,1
The North Ward Center,The North Ward Center Inc,≤100,1
Founder of the Day,Founder of the Day,≤100,1
ActivistChic,ActivistChic,≤100,1
All Def Music,All Def Music,≤100,1
Mike Conaway,the Conaway for Congress Committee,≤100,1
Eduardo Soto Abogado Inmigracion,Eduardo Soto PA & Eduardo Soto & Associates,≤100,1
Etheric Networks Internet,Etheric Networks,≤100,1
Mueller Tee Shirts,These ads ran without a disclaimer,≤100,1
Kaddy Rebos - R&B Sensation,These ads ran without a disclaimer,≤100,1
Common Grounds Caffe.,These ads ran without a disclaimer,≤100,1
Minnetrista governance blog,Minnetrista Governance Blog page administrator Shannon Bruce,≤100,1
Campbell First,Campbell First PAC,≤100,1
Keto Coach Driggs,Alan Driggers,≤100,1
Republican Women of Chester County,Republican Women Of Chester County,≤100,1
Quill.com,These ads ran without a disclaimer,≤100,1
Missoula County Democrats,Missoula County Democrats,≤100,1
Impact Global International,These ads ran without a disclaimer,≤100,1
"Charlette Roman - City Councilor, Marco Island",Charlette Roman,≤100,1
"Giving Back, Linda's Legacy",These ads ran without a disclaimer,≤100,1
SC Interfaith Power & Light,These ads ran without a disclaimer,≤100,1
The Neshoba Democrat,Jim Prince,≤100,2
Truth In Morrisville Elections -TIME.,Dave Nay For Truth in Morrisville Elections  TIME.,≤100,1
Atlanta Carriage Horse Advocates,Atlanta Carriage Horse Advocates,≤100,1
"NASW Ohio, Region 6- Cincinnati",Pamela J. Miller and NASW Ohio,≤100,1
Informing Christians,Debra J.M. Smith of Informing Christians,≤100,1
Nurse Recruiter,These ads ran without a disclaimer,≤100,1
Senator Jim Stalzer,Stalzer for South Dakota,≤100,1
Avra Reddy for City Council,Friends of Avra Reddy,≤100,1
Ebony & Ivory 411 Talk,Jeanette Largent,≤100,1
Colorado Hispanic Republicans,Colorado Hispanic Republicans,≤100,1
Equity Preschool,Lark Lo LLc,≤100,1
E-City Beat,"E-City Beat, 3 Anaconda Hills Drive Black Eagle, MT",≤100,1
Ozark Off-Road Cyclists,Ozark Off Road Cyclists,≤100,2
Volney Bible Church,These ads ran without a disclaimer,≤100,1
El Cajon City Councilman Steve Goble,"Steve Goble, not at taxpayer expense.",≤100,1
STEER,South Texas Energy & Economic Roundtable (STEER),≤100,1
North Texas Democrats,Jeanna Harwood,≤100,1
Re-elect Mary Sue Maurer to Calabasas City Council,Reelect Maurer for Council 2018 #14110999,≤100,1
Seattle's Union Gospel Mission,These ads ran without a disclaimer,≤100,1
Missouri Rural Crisis Center,Missouri Rural Crisis Center,≤100,1
Smacked Heroin Addiction & Recovery in Rural America - Documentary Film,These ads ran without a disclaimer,≤100,1
YouthBuild - Rochester Workforce Consortium,YouthBuild - CFC,≤100,1
Cup Of Joe Politics Podcast,Cup of Joe Politics Podcast,≤100,1
Fix Our Roads Alabama,"the Alliance for Alabama’s Infrastructure, 2 North Jackson Street, Montgomery, AL 36104",≤100,10
Invest in a Healthier Future,the Invest in a Healthier Future Coalition.,≤100,1
The Alabama Newswire,Jeff Poor,≤100,2
Indivisible - Blair County,Indivisible Blair County,≤100,1
Centinela de la verdad,These ads ran without a disclaimer,≤100,1
Kelly Hancock,Texans for Kelly Hancock,≤100,2
Twitty Titus,The Campaign to Elect Twitty Titus,≤100,1
Preserve our Future Rutherford,Preserve our Future Rutherford,≤100,1
Open Door,Open Door.,≤100,1
Arrow Material Handling Products,Arrow Material Handling Products,≤100,1
Danielle Tudor,These ads ran without a disclaimer,≤100,1
